Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,210,20.4,3.386152493337235,-20.0,29.0,20.0,-7.8746498133243925,94.99668782091504
Total,UCLA Loneliness,ucla_score,210,40.50476190476191,11.144654615467603,20.0,73.0,39.5,0.38744626084988915,-0.3451490008836724
Total,DASS-21 Depression,dass_depression,210,7.533333333333333,7.994695210897756,0.0,42.0,4.0,1.7169300385204418,3.3451775268981088
Total,DASS-21 Anxiety,dass_anxiety,210,5.523809523809524,5.918255332751444,0.0,28.0,4.0,1.3749080587978135,1.598036212710614
Total,DASS-21 Stress,dass_stress,210,10.076190476190476,7.6648645191886144,0.0,42.0,8.0,0.8792479383918022,0.7465780886068778
Total,PRP Delay Effect,prp_bottleneck,209,595.7815899356054,154.65691849922882,279.4812500008071,1017.8824358974357,594.9934782554275,0.13011424880805642,-0.48390440976480464
Male,Age (years),age,82,21.158536585365855,2.116773180143742,18.0,29.0,21.5,0.6234683251431387,0.47132064640308613
Male,UCLA Loneliness,ucla_score,82,37.80487804878049,11.719393049204143,20.0,73.0,36.0,0.7838185195644812,0.20090240345092703
Male,DASS-21 Depression,dass_depression,82,6.048780487804878,7.999849441522134,0.0,42.0,2.0,1.9606305171555969,4.438776389283647
Male,DASS-21 Anxiety,dass_anxiety,82,4.658536585365853,6.246420233478763,0.0,28.0,2.0,1.7636889375212368,2.7814806232418237
Male,DASS-21 Stress,dass_stress,82,8.878048780487806,8.32724257994478,0.0,42.0,7.0,1.2541580289987397,1.901761301080219
Male,PRP Delay Effect,prp_bottleneck,82,536.2086163082076,145.63679728858554,279.4812500008071,937.8946808510515,533.0534420290038,0.33690455410566233,-0.12353277899046544
Female,Age (years),age,128,19.9140625,3.9245388790768563,-20.0,29.0,20.0,-8.136804733635717,82.23524750749861
Female,UCLA Loneliness,ucla_score,128,42.234375,10.44406501772601,20.0,70.0,42.0,0.20422562456062612,-0.4385763151679791
Female,DASS-21 Depression,dass_depression,128,8.484375,7.875992001011682,0.0,38.0,6.0,1.664646702922448,3.044274339003411
Female,DASS-21 Anxiety,dass_anxiety,128,6.078125,5.653525657694031,0.0,26.0,4.0,1.1507270854812717,0.9524960963408664
Female,DASS-21 Stress,dass_stress,128,10.84375,7.136947780532463,0.0,30.0,10.0,0.6442812892470937,-0.18300051819678087
Female,PRP Delay Effect,prp_bottleneck,127,634.2460296005394,148.48908872778273,314.4130434782696,1017.8824358974357,641.8291666656734,0.03081689198343574,-0.5334616875249218
