outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
PRP Delay Effect,209,0.09627049829723633,0.10394077874432472,0.11550086348699118,0.1260157192557252,0.007670280447088396,0.629282708055555,0.011560084742666454,0.11243745229948025,0.01051485576873401,0.15902677146212524
PRP T2 Mean RT (Short SOA),210,0.0974052243638921,0.11622420616510076,0.12295083605602053,0.12828610831160836,0.018818981801208667,0.22998877323197298,0.006726629890919766,0.24609319429671303,0.005335272255587831,0.36363477897156626
PRP T2 Mean RT (Long SOA),209,0.03165814017726021,0.06318096800125206,0.06336587354645185,0.06395019024623816,0.03152282782399185,0.08084982367725771,0.0001849055451997872,0.8483652963225965,0.0005843166997863136,0.7772058982252148
PRP T2 RT SD (Short SOA),209,0.027038954185601982,0.03014342883558352,0.03315000858791095,0.03319163428084004,0.0031044746499815368,0.8848147578019183,0.003006579752327432,0.46008611559308454,4.162569292909257e-05,0.9360095290692312
PRP T2 RT SD (Long SOA),209,0.034064669419647475,0.04137296420340708,0.04138519465936452,0.0418372816492083,0.007308294783759606,0.671802374096558,1.2230455957440434e-05,0.9579834894591072,0.0004520869898437807,0.7581436242020219
PRP T2 Coefficient of Variation (All),209,0.002855004738292477,0.03204603901458025,0.032706043765702186,0.03327588107790136,0.029191034276287775,0.1093812919177633,0.0006600047511219342,0.7460211079833612,0.0005698373121991729,0.7612312588987715
PRP T2 CV (Short SOA),209,0.006754853876952516,0.021998768724996176,0.022038621445694906,0.025313416969175107,0.01524391484804366,0.3694491983019303,3.9852720698729804e-05,0.9394994265779238,0.0032747955234802006,0.472240835239491
PRP T2 CV (Long SOA),209,0.01692303454876176,0.017529547774294385,0.017571894452389603,0.01938426388590786,0.0006065132255326233,0.988599120758185,4.234667809521753e-05,0.9236755038755885,0.0018123694335182572,0.5336489273793765
PRP Error Cascade Rate,150,0.002463969388285525,0.010729630495081799,0.015566835880929442,0.02435370455429653,0.008265661106796274,0.7524499607705958,0.004837205385847643,0.37955022395061355,0.008786868673367088,0.22945893157748326
PRP Cascade Inflation,134,0.007677532371119344,0.013294554845626139,0.013342898947041548,0.024969883945551552,0.005617022474506794,0.8662613888855109,4.834410141540957e-05,0.9066648946974384,0.011626984998510004,0.10245921372264485
PRP Post-Error Slowing (ms),171,0.03474223263560605,0.0501162021536421,0.05341294650906847,0.062184111647096585,0.015373969518036046,0.44755698722828885,0.003296744355426373,0.40776126097811305,0.008771165138028114,0.2089172015395064
PRP Valid T2 Trial Count,210,0.018190897588002186,0.021177708561453734,0.02528628644290265,0.035769268790345476,0.002986810973451548,0.8911325784322324,0.004108577881448916,0.4440869504212246,0.010482982347442826,0.14773937594128583
PRP Ex-Gaussian mu (Short SOA),206,0.07087197714869065,0.0963221038869253,0.11087118700405585,0.11752292711546164,0.025450126738234657,0.13459641221689503,0.014549083117130546,0.12741271622985284,0.006651740111405791,0.37030989623372823
PRP Ex-Gaussian sigma (Short SOA),206,0.04645384459379587,0.06656074007726842,0.10160032429116639,0.10747428157395267,0.020106895483472553,0.23345385928949658,0.03503958421389797,0.024563659744260533,0.00587395728278628,0.35451977906464094
PRP Ex-Gaussian tau (Short SOA),206,0.0028316766741118826,0.024573275990769083,0.033490159082190996,0.0335476860229621,0.0217415993166572,0.21954837354532314,0.008916883091421912,0.2076346359922631,5.75269407711021e-05,0.9225480002278758
PRP Ex-Gaussian mu (Long SOA),196,0.009851010446225938,0.0455602616016354,0.04559070318052261,0.050130023125372625,0.03570925115540946,0.0719888665789467,3.044157888720811e-05,0.9380048319786116,0.004539319944850018,0.4131150359893285
PRP Ex-Gaussian sigma (Long SOA),196,0.005572398227790432,0.0438047049939998,0.04478627564045323,0.045452771108482004,0.03823230676620937,0.05837418486600895,0.0009815706464534335,0.6275222559494031,0.0006664954680287716,0.7046418653893318
PRP Ex-Gaussian tau (Long SOA),196,0.021467030811992638,0.038054985584339174,0.03858050972486793,0.03940000613703054,0.016587954772346536,0.3536747523720494,0.0005255241405287547,0.7492017871464427,0.0008194964121626125,0.706625592833148
