,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,1.0,0.6630124738444944,0.49718566679008425,0.5499267615364971,0.013367105175904163,-0.11254892347916196,0.2524371607862727,0.1451710895816396,0.09203914067288982,0.1051130503116455
DASS-Dep,0.6630124738444944,1.0,0.6587191775051929,0.6672201699450862,-0.031161165671686458,-0.14643063805942108,0.0884950695625945,0.019119174969780977,0.06999825868263551,-0.040297981404354644
DASS-Anx,0.49718566679008425,0.6587191775051929,1.0,0.7517039134317044,0.01221454954444905,-0.1299034005098203,0.13645143708912408,-0.03304967652400784,-0.008336341253125523,-0.0357330884581157
DASS-Str,0.5499267615364971,0.6672201699450862,0.7517039134317044,1.0,0.01546121387247543,-0.1357571841655631,0.1336252881983951,-0.027308870531229313,-0.03956187021433202,0.0010387732575836168
Stroop Interference RT,0.013367105175904163,-0.031161165671686458,0.01221454954444905,0.01546121387247543,1.0,0.06642033689905438,0.06511148868536808,0.16207856904468504,0.13498049093600287,0.08721268740656808
WCST PE Rate,-0.11254892347916196,-0.14643063805942108,-0.1299034005098203,-0.1357571841655631,0.06642033689905438,1.0,0.007849572758880926,-0.1582534838454577,0.12622384125730754,-0.3265216516445283
Stroop Interference RT Slope,0.2524371607862727,0.0884950695625945,0.13645143708912408,0.1336252881983951,0.06511148868536808,0.007849572758880926,1.0,0.05802602343846832,0.03014330453295581,0.048231099675704714
WCST Confirmation RT,0.1451710895816396,0.019119174969780977,-0.03304967652400784,-0.027308870531229313,0.16207856904468504,-0.1582534838454577,0.05802602343846832,1.0,0.6533230099860501,0.7059915871893924
WCST Exploitation RT,0.09203914067288982,0.06999825868263551,-0.008336341253125523,-0.03956187021433202,0.13498049093600287,0.12622384125730754,0.03014330453295581,0.6533230099860501,1.0,-0.07493830876786492
WCST Confirm - Exploit RT,0.1051130503116455,-0.040297981404354644,-0.0357330884581157,0.0010387732575836168,0.08721268740656808,-0.3265216516445283,0.048231099675704714,0.7059915871893924,-0.07493830876786492,1.0
